run_id,ckpt_tag,obs_mode,policy_seed,repeat_idx,seed,env_idx,cubeA_x,cubeA_y,cubeA_z,cubeA_theta,cubeB_x,cubeB_y,cubeB_z,cubeB_theta,separation,relative_yaw,relative_yaw_mod90,success_once,success_at_end,ep_len,return,success,ever_success,first_success_step,is_cubeA_grasped,ever_is_cubeA_grasped,first_is_cubeA_grasped_step,is_cubeA_on_cubeB,ever_is_cubeA_on_cubeB,first_is_cubeA_on_cubeB_step,is_cubeA_static,ever_is_cubeA_static,first_is_cubeA_static_step,final_cubeA_x,final_cubeA_y,final_cubeA_z,cubeB_displacement
/workspace/ripl/t2/nominal,best_eval_success_once.pt,rgb,1,0,1201,1,0.14499306678771973,0.21970206499099731,0.019999999552965164,-2.133742593499015,0.004073232412338257,-0.1358729898929596,0.019999999552965164,1.2176470153761503,0.38248139742491255,-2.9317956983044207,0.20979695528537246,0,0,200,0.0,0,0,-1,1,1,69,0,0,-1,0,1,1,0.004917331971228123,-0.09754876047372818,0.02387111820280552,0.004843864550065151
/workspace/ripl/t2/nominal,best_eval_success_once.pt,rgb,1,0,1202,2,-0.13217610120773315,-0.0036640167236328125,0.019999999552965164,-2.71445043673401,-0.07496446371078491,0.0407816618680954,0.019999999552965164,-2.9410546027300377,0.07244715184575182,-0.22660416599602762,-0.22660416599602762,1,1,200,98.0,1,1,103,0,1,47,1,1,101,1,1,1,-0.05813185125589371,0.03325185552239418,0.060000088065862656,8.137116218572692e-06
/workspace/ripl/t2/nominal,best_eval_success_once.pt,rgb,1,0,1203,3,0.12844492495059967,-0.13397002220153809,0.019999999552965164,0.6428895560286332,0.15896256268024445,0.07005863636732101,0.019999999552965164,-1.0086224777394568,0.2062983754904675,-1.65151203376809,-0.08071570697319341,1,0,200,4.0,0,1,109,1,1,55,0,1,108,0,1,1,0.15910522639751434,0.13085725903511047,0.05781659856438637,0.0019756935480862606
/workspace/ripl/t2/nominal,best_eval_success_once.pt,rgb,1,0,1204,4,-0.12092804908752441,0.02140539139509201,0.019999999552965164,-2.172090053073209,-0.12888433039188385,-0.15394753217697144,0.019999999552965164,-0.26015789331533457,0.1755333307878137,1.9119321597578742,0.34113583296297767,0,0,200,0.0,0,0,-1,0,1,49,0,1,123,1,1,1,-0.16412732005119324,-0.20677661895751953,0.019999917596578598,0.008787858827519777
/workspace/ripl/t2/nominal,best_eval_success_once.pt,rgb,1,0,1205,5,0.058436423540115356,0.0359969437122345,0.019999999552965164,-2.745869187629432,0.000580132007598877,0.05107569694519043,0.019999999552965164,-3.0466182825691615,0.0597889560784926,-0.30074909493972957,-0.30074909493972957,0,0,200,0.0,0,0,-1,0,0,-1,0,0,-1,1,1,1,0.18169593811035156,0.023337284103035927,0.01999993622303009,0.14383511826040313
/workspace/ripl/t2/nominal,best_eval_success_once.pt,rgb,1,0,1206,6,0.018070340156555176,-0.02261776477098465,0.019999999552965164,-0.43889171345753875,0.12703393399715424,0.16089263558387756,0.019999999552965164,0.08411615562843089,0.21342242576885131,0.5230078690859696,0.5230078690859696,1,1,200,81.0,1,1,108,0,1,48,1,1,97,1,1,1,0.12331124395132065,0.16570612788200378,0.05999894440174103,0.0016597970284435053
/workspace/ripl/t2/nominal,best_eval_success_once.pt,rgb,1,0,1207,7,0.03071518987417221,-0.06464365869760513,0.019999999552965164,-1.8520235029059293,0.009647272527217865,-0.2553770840167999,0.019999999552965164,-1.537559297399742,0.1918934513612462,0.31446420550618726,0.31446420550618726,1,1,200,107.0,1,1,94,0,1,40,1,1,93,1,1,1,-0.007743970490992069,-0.2643413543701172,0.059992317110300064,3.938595650790237e-06
/workspace/ripl/t2/nominal,best_eval_success_once.pt,rgb,1,0,1208,8,-0.0699530839920044,-0.12352713197469711,0.019999999552965164,-2.0181381934492135,-0.13836970925331116,-0.13175106048583984,0.019999999552965164,0.7022186281172518,0.06890912575488435,2.7203568215664653,-0.4212358320233278,0,0,200,0.0,0,0,-1,0,1,39,0,0,-1,1,1,1,0.028010917827486992,-0.12712836265563965,0.01999991573393345,0.12275845165292248
/workspace/ripl/t2/nominal,best_eval_success_once.pt,rgb,1,0,1209,9,-0.025518961250782013,-0.13290755450725555,0.019999999552965164,-2.4532057596597188,-0.040411002933979034,-0.05360109359025955,0.019999999552965164,-2.674031000123337,0.08069255014357331,-0.2208252404636184,-0.2208252404636184,0,0,200,0.0,0,0,-1,1,1,48,0,1,88,0,1,1,0.011950983665883541,-0.011463884264230728,0.088966004550457,0.0026209293606016797
/workspace/ripl/t2/nominal,best_eval_success_once.pt,rgb,1,0,1210,0,0.15774056315422058,-0.1575876772403717,0.019999999552965164,1.67347196864063,0.1900130957365036,0.17452704906463623,0.019999999552965164,2.5864002379234403,0.3336790490694986,0.9129282692828102,-0.6578680575120863,0,0,200,0.0,0,0,-1,1,1,61,1,1,160,0,1,1,0.1685047149658203,0.19316570460796356,0.06007636338472366,0.013688358671463188
